Gene	cuffdiff_ctrl_FPKM	cuffdiff_exp_FPKM	cuffdiff_log2	cuffdiff_test_stat	cuffdiff_p_value	cuffdiff_q_value	edger_logFC	edger_logCPM	edger_PValue	edger_FDR	deseq2_baseMean	deseq2_log2FoldChange	deseq2_lfcSE	deseq2_pvalue	deseq2_padj	bayseq_library_522	bayseq_library_523	bayseq_library_524	bayseq_library_525	bayseq_likelihood	bayseq_FDR	
TMEM139	NULL	NULL	NULL	NULL	NULL	NULL	-0.740022149438506	6.83305241997111	0.0172828039171914	0.538814685499409	-0.623465551953458	3458.03076144787	0.234332389276611	0.00780007730499424	0.464474076993183	4583	3608	2356	3096	0.00827146158218641	0.948961445744303	
TRPC6	NULL	NULL	NULL	NULL	NULL	NULL	-0.778246171209848	1.81152908757229	0.0233452214131873	0.620012671094828	-0.594412141983868	104.547991840358	0.271602638328244	0.0286305845205509	0.932609692703013	98	156	85	78	0.0171285199057564	0.914975420567041	
LOC770119	NULL	NULL	NULL	NULL	NULL	NULL	-1.88593505115599	-2.22466554807307	0.033150037320978	0.775871303091691	-0.346569525336982	4.56472155594559	0.252462211858596	0.169827586280814	0.999162683775631	5	9	3	1	0.0287395678843929	0.856736879591152	
CDKL1	NULL	NULL	NULL	NULL	NULL	NULL	0.478474311924558	3.74113280125578	0.133251792071629	1	0.426311291575189	403.395889697563	0.19814723275186	0.0314377425333098	0.991691316975467	319	323	534	460	0.0289817276921535	0.852406946959785	
LOC769940	NULL	NULL	NULL	NULL	NULL	NULL	-0.920782224946756	1.52465654140931	0.00893716759972824	0.356761675411615	-0.716872026593835	85.4811722794305	0.265844943108561	0.00700556706537095	0.436042045323268	96	118	67	58	0.107047096018769	0.613461722402987	
TBX18	NULL	NULL	NULL	NULL	NULL	NULL	2.18791346059286	-2.54392032146417	0.0325926948790543	0.772012299368533	0.25847344594616	3.11935950369483	0.21366094792723	0.226380021798753	0.999162683775631	0	2	4	7	0.0627754610535689	0.73878596739191	
LOC101750453	NULL	NULL	NULL	NULL	NULL	NULL	1.08034088569228	-0.18053155383169	0.017247449929064	0.538814685499409	0.398766488113718	24.6801525404584	0.308969887188433	0.196831241683579	0.999162683775631	15	15	13	57	0.0119803797617096	0.939114985895921	
LOC100857167	NULL	NULL	NULL	NULL	NULL	NULL	-5.10940366692398	-2.92840131302599	0.0104710655463004	0.388888807170788	-0.167389499939446	2.00335653464542	0.145610186104562	0.250319893073042	0.999162683775631	0	8	0	0	0.0357275715833197	0.831327923248024	
DBC1	1.30365	0.60012	-1.11924	-1.57181	0.04675	0.999798	1.07553219472879	0.756876353282652	0.00548821880964358	0.264109337279067	0.714985403625728	48.9769011852922	0.301327731130236	0.017654619093652	0.732244774897385	30	30	84	57	0.0410090882165199	0.80847135495893	
EEF1D	NULL	NULL	NULL	NULL	NULL	NULL	-0.489386979351704	9.48456596275102	0.11327755319899	1	-0.444578888035529	21724.875387821	0.186080566783003	0.0168862938439773	0.723680032389241	23261	25127	17327	20780	0.000415518782097103	0.989369933386433	
NOD1	NULL	NULL	NULL	NULL	NULL	NULL	0.559530464366295	2.47173225399636	0.0937568667148554	1	0.475305026788771	166.062659302605	0.228033391436957	0.0371268965084629	0.999162683775631	123	133	206	212	0.0231957361479479	0.877599037377992	
CALD1	NULL	NULL	NULL	NULL	NULL	NULL	-0.713340741630817	7.87012034245626	0.021463713008118	0.600704909900107	-0.613453774947484	7091.18968965167	0.221733204082267	0.00566389658335974	0.378433027229127	6942	9963	6660	4740	0.000956643484737495	0.988323319996174	
TNMD	NULL	NULL	NULL	NULL	NULL	NULL	-0.928179929546698	-0.345429269898698	0.0395520568816488	0.835649899507422	-0.327432221146443	21.8159390561688	0.306957265076831	0.286105993175527	0.999162683775631	9	47	16	16	0.0061515614800719	0.961821828238458	
TPD52	NULL	NULL	NULL	NULL	NULL	NULL	-0.440227758588634	6.52939847513623	0.155733035326512	1	-0.392603071950203	2799.09439322377	0.199496758567649	0.049071814917937	0.999162683775631	2739	3427	2256	2752	0.00295031532776436	0.981956470865686	
LOC101751888	NULL	NULL	NULL	NULL	NULL	NULL	1.56735365589483	-2.03194638256875	0.0457605313027502	0.910852480216646	0.321039052483324	5.3101619457522	0.262438725458564	0.221219630328899	0.999162683775631	3	2	12	5	0.0183506393210234	0.907367002648407	
RNF186	NULL	NULL	NULL	NULL	NULL	NULL	-0.683922973207639	5.1126845461003	0.0289825385132989	0.717799798874257	-0.484810124994521	1046.5623118628	0.290006655101243	NA	NA	841	1651	596	1091	0.00137478638106972	0.986791993001127	
LOC101749810	NULL	NULL	NULL	NULL	NULL	NULL	-2.06094669450942	-2.39736493533626	0.0335712295702238	0.775871303091691	-0.333737196356223	3.90668971225029	0.241137821666082	0.166355342240144	0.999162683775631	8	4	2	1	0.0427868290623113	0.803945304246694	
LOC426827	NULL	NULL	NULL	NULL	NULL	NULL	2.64929957929015	5.12637633315261	1.73961741321121e-15	1.85425820074183e-12	1.70193638619544	1056.48620395375	0.304661924212078	NA	NA	302	249	1028	2783	0.677992477140126	0.0929111912884877	
SYT16	NULL	NULL	NULL	NULL	NULL	NULL	1.10650636367538	0.54648336539517	0.00525860713314068	0.257833412606978	0.671999668471356	41.9653449203999	0.312091265943702	0.0313017669019753	0.989798316909652	20	31	76	46	0.0282927206447544	0.858433694748881	
